title,description
E01 - Create a first Android application,[Exercise link to teacher's material ](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/01.-exercise01/)
E02 - Build UI with Layout Editor 1,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/02.-exercise02/)
E03 - Build UI with Layout Editor 2,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/03.-exercise03/)
E04 - Sum Calculator,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/04.-exercise04/)
E05 - Launch a Map with Implicit Intent,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/05.-exercise05/)
E06 - Build your first app with multiple activities,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/06.-exercise06/)
E07 - Show employees in a RecyclerView,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/07.-exercise07/)
E08 - Show employees with Retrofit,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/08.-exercise08/)
E09 - Show your cities in a Google Maps,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/09.-exercise09/)
E10 - Show Golf Courses in a Google Maps,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/10.-exercise10/)
E11 - ShoppingList with a Room,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/11.-exercise11/)
E12 - Android Room with a View,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/12.-exercise12/)
E13 - ShoppingList with a LiveData,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/13.-exercise13/)
E14 - Weather Widget,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/14.-exercise14/)
E15 - Weather Wear App,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/15.-exercise15/)
E16 - Show employees JetPack Compose version,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/android-application-development/Exercises/16.-exercise16/)
